,original,duplicate
18,648602,"{648602: 144.6353539661974, 612241: 63.791598247256175, 628878: 63.26162221104586, 636461: 62.67102107981867, 628943: 61.27674570855626}"
19,648609,"{648609: 245.61139953093794, 657909: 63.65989320085949, 452847: 63.152730130031614, 439456: 62.22897081002859, 262090: 61.708772036406174}"
20,648632,"{648632: 104.97219408292744, 577228: 50.38719015294696, 469489: 46.61884246830617, 412676: 46.258013412864294, 259172: 45.68784284438666}"
21,648682,"{648682: 145.41652831679016, 610177: 73.65509176044812, 586575: 65.00215114313232, 576537: 63.74866387099797, 663179: 63.72587277366452}"
22,648686,"{648686: 191.46695133431888, 666087: 72.31561199015668, 591011: 68.29742093669068, 307690: 68.16386376067955, 645599: 67.00088254749213}"
23,648692,"{648692: 127.86168482491411, 565085: 65.33879623189132, 374007: 63.538611539011704, 263773: 63.362866868907574, 409868: 63.283729095653236}"
24,648713,"{648713: 146.0042712149015, 648931: 84.45083870543185, 661516: 74.6566106670125, 652347: 71.37124408454761, 305842: 68.82196339706269}"
25,648714,"{648714: 104.86907715713163, 652013: 71.52115197070458, 652360: 68.88617713843318, 596468: 67.23480534100302, 590282: 65.05416305354088}"
26,648763,"{648763: 88.62949969037038, 648767: 57.985892501104786, 648855: 53.91784647986196, 594441: 51.01435582756068, 644430: 50.86092085738731}"
27,648794,"{648794: 232.82360843152955, 637063: 79.03716812749796, 649816: 75.32150820511708, 654901: 73.98034781256476, 637055: 72.26815127375802}"
28,648805,"{648805: 107.9924746064131, 644430: 60.02811943046987, 594441: 57.49493998649731, 620624: 56.16778517505914, 650666: 54.656181654861534}"
29,648807,"{648807: 84.59360801310696, 621353: 45.5813365723985, 535909: 44.1470645200714, 645455: 44.10452844032779, 309257: 43.962136400121445}"
30,648820,"{648820: 113.34271277180062, 632077: 33.16911162042513, 582954: 32.93214287815021, 738434: 29.256500351526977, 728591: 29.00742884767376}"
31,648855,"{648855: 117.68309736791899, 648763: 57.539944160572205, 428799: 51.17616787857475, 646424: 49.09148305157423, 571784: 47.635598503778}"
32,648859,"{648859: 130.17520140214194, 691126: 55.17054256573356, 590488: 52.59089290299474, 651442: 51.835591561639106, 620624: 51.0089345289052}"
33,648874,"{648874: 103.49062155087755, 645669: 53.60043026713073, 612410: 52.96047813513835, 649866: 52.30342193275432, 645201: 51.70954363013443}"
34,648932,"{648932: 138.68930400744838, 593871: 38.94325273513277, 594441: 32.08882307127662, 582678: 31.75821162782529, 232259: 31.718253741069617}"
35,648954,"{648954: 185.54125622502391, 446629: 74.15966915155147, 575865: 74.02543550402685, 247011: 71.87623941912724, 435864: 71.09286237654831}"
36,648959,"{648959: 189.22185221374423, 648777: 69.96986398670332, 647707: 62.83923251410739, 370909: 61.699269863622774, 553779: 60.63510049794834}"
37,648967,"{648967: 89.193864941514, 676044: 58.155653054049615, 628206: 56.342161017559036, 690295: 55.33355748684788, 510701: 55.1761245868935}"
38,648970,"{648970: 131.59501149180934, 248408: 63.694560787959965, 644939: 61.54926568185833, 332726: 60.69386273099404, 657283: 60.124600807220745}"
39,648971,"{648971: 108.17136162013396, 648939: 58.94392266157549, 648938: 57.381025211444666, 419065: 52.26656861160514, 240494: 51.57476405415394}"
40,648995,"{648995: 107.01397384321399, 649006: 77.36669706049722, 649327: 63.155191589039035, 630165: 53.554841977000194, 605091: 52.319534309845224}"
41,649183,"{649183: 174.89706365589257, 484924: 71.89342491703523, 263401: 66.8136940196866, 249158: 64.28612141631896, 286500: 63.768404167866116}"
42,649203,"{649203: 166.03027940688685, 603613: 69.2369231254975, 640878: 65.90663467822877, 246134: 64.54527074693353, 648848: 64.15233512733377}"
43,649216,"{649216: 216.0899711275846, 649218: 53.649123437127365, 652424: 43.98931226960218, 880277: 43.89863896151869, 649251: 41.53633224736991}"
44,649222,"{649222: 181.99224160591916, 242912: 67.3978967585488, 429445: 66.93226809088462, 426017: 65.90768617121957, 594328: 65.67674056323766}"
45,649243,"{649243: 410.6346423676704, 411899: 132.8980775452699, 504812: 132.81127862948173, 408298: 132.69346704494487, 297321: 128.27187690343928}"
46,649283,"{649283: 277.1832558671797, 649282: 176.84453430424495, 663624: 52.09402763119557, 655561: 51.474552206340924, 655565: 51.474552206340924}"
47,649296,"{649296: 128.91680996795344, 706772: 77.09660879544047, 729566: 75.17249725463006, 680014: 69.61150087181213, 264588: 68.890201747017}"
48,649302,"{649302: 82.5553510653371, 649303: 80.39503720409036, 649306: 79.93149454445863, 649308: 77.35855169428598, 649301: 74.0924390673606}"
49,649303,"{649303: 88.67449177738828, 649302: 82.5553510653371, 649306: 79.93149454445863, 649308: 77.35855169428598, 649301: 74.0924390673606}"
50,649305,"{649305: 191.626259799013, 646869: 71.17064243366002, 647707: 62.45886783293747, 648777: 62.061097069333044, 576717: 58.62076792282862}"
51,649306,"{649306: 79.93149454445863, 649302: 78.85756559548507, 649303: 76.79401562783639, 649308: 73.89353913322819, 649301: 70.44367696769673}"
52,649308,"{649308: 103.04748081660533, 649301: 90.29309997561637, 649302: 82.5553510653371, 649303: 80.39503720409036, 649306: 79.93149454445863}"
53,649309,"{649309: 117.6792011319981, 649310: 73.30792390573413, 649306: 63.399528276499865, 649311: 63.399528276499865, 649312: 63.399528276499865}"
54,649310,"{649310: 128.43211484709943, 649312: 78.78215110286179, 649309: 75.27779828679506, 649306: 66.63605739706846, 649302: 65.74076084979356}"
55,649311,"{649311: 89.93286025275728, 649317: 68.73073378750986, 649312: 66.10736730340226, 649301: 65.39707188369057, 649303: 64.48665034546858}"
56,649312,"{649312: 86.18547201677684, 649310: 75.68978632849998, 649306: 66.63605739706846, 649311: 66.10736730340226, 649302: 65.74076084979356}"
57,649313,"{649313: 118.97101869717137, 649303: 71.19716048166244, 649317: 69.80907829353981, 649302: 69.43854631964561, 649301: 68.51796518012031}"
58,649317,"{649317: 94.28593490778745, 649311: 69.66674955392642, 649313: 67.98230973726491, 649306: 66.63605739706846, 649312: 66.63605739706846}"
59,649430,"{649428: 349.366496799662, 649430: 349.366496799662, 773706: 123.22886771610078, 789838: 99.412787349652, 763474: 72.88431378255798}"
60,649455,"{649455: 101.83699931757917, 638737: 69.50224150134407, 412640: 67.59462203621446, 261335: 64.68568271848943, 628097: 64.41595748763562}"
61,649480,"{649480: 85.7741567818854, 608964: 24.587559896289175, 950483: 24.50287238771951, 814232: 22.818894790632964, 726444: 22.597676742688652}"
62,649548,"{649548: 157.98314452608398, 268407: 63.51625245940305, 644106: 63.186160354589944, 619057: 58.27256831648008, 647906: 57.82448858219481}"
63,649562,"{649562: 287.32010585752425, 296740: 76.23293788518322, 296754: 76.23293788518322, 718507: 73.8240736876887, 455997: 70.89921582016491}"
64,649586,"{649586: 89.2918965854673, 642426: 36.9535325283105, 629769: 36.3193396899796, 638728: 36.10116064890962, 686063: 35.02196469175913}"
65,649612,"{649612: 152.80032252718473, 653447: 58.62891063557603, 633705: 57.559017914374444, 552557: 57.1742791374848, 782150: 57.08344935066055}"
66,649638,"{649638: 140.73241403727258, 657822: 71.27173487732928, 655946: 67.7081895679442, 362142: 67.53328783785264, 653855: 66.27921444466426}"
67,649678,"{649678: 114.54074612681536, 814404: 30.442037298224424, 450965: 29.583592642332963, 484743: 29.48234489102501, 649444: 29.236554772438783}"
68,649714,"{649714: 214.0820584477492, 530451: 75.04453044615423, 515445: 71.56580668520994, 495950: 69.74076679247018, 248168: 68.69988690329953}"
69,649715,"{649715: 47.06147879208406, 432529: 19.05396437636395, 498813: 16.99648997949593, 878552: 16.09982544072459, 175164: 15.855714704645667}"
70,649732,"{649732: 105.22679721049292, 649950: 61.47332431294555, 334172: 53.141866086355336, 655194: 50.664233559420744, 666851: 49.548058716050825}"
71,649784,"{649784: 164.4492976081598, 282122: 60.156893470637044, 246538: 56.8517572971689, 511928: 55.31692754434333, 711105: 55.20274114672329}"
72,649816,"{649816: 108.12929504557248, 635775: 71.92331470561093, 646426: 66.37713149009494, 645030: 65.12261269561904, 650738: 64.4517230075311}"
73,649837,"{649837: 202.24209942825743, 347271: 72.43068321628712, 337435: 68.78553215368485, 756487: 68.03958538526294, 278894: 65.9237580591949}"
74,649925,"{649925: 218.10397623058446, 318340: 63.51609443116387, 632601: 63.05299467138845, 761254: 61.91710325887088, 396845: 61.8185877356015}"
75,649950,"{649950: 92.04644083787097, 649732: 57.74446076025954, 649955: 49.34484286270309, 575041: 48.176978803796125, 600569: 47.34595220439873}"
76,650093,"{650093: 182.14349579771627, 585130: 82.96133476068927, 576654: 77.75339385813002, 592174: 77.50333023748276, 652360: 73.79245422849965}"
77,650211,"{650211: 145.89547240978467, 525191: 70.75164485936776, 608159: 65.80820955458614, 329428: 65.45856198264815, 394697: 64.95276187755707}"
78,650232,"{650232: 87.13140731627858, 239532: 51.8657737337111, 459570: 51.29463580907905, 548710: 51.023609754311735, 273170: 50.50195452407734}"
79,650233,"{650233: 164.2021582440394, 645216: 81.8551175025595, 608090: 79.45253471442756, 624235: 76.77539686907404, 645840: 74.87763392562539}"
80,650270,"{650270: 160.0393624413177, 408976: 68.67529478831132, 499139: 68.55113101428476, 404562: 68.4503871524299, 529525: 67.78320933561449}"
81,650274,"{650274: 249.35276295143808, 547237: 62.659992813515885, 326747: 62.590841094523576, 546383: 60.8862135229143, 576095: 60.74463379980389}"
82,650298,"{650298: 189.3999150345716, 443354: 65.45213014764731, 645608: 65.2137028085374, 448355: 62.725191990898175, 642880: 62.341631257669256}"
83,650332,"{650332: 184.60504367189242, 409283: 73.89775622614809, 660994: 69.38723021529901, 240302: 67.47036954373645, 632054: 67.01772498206569}"
84,650354,"{650354: 142.3829389557039, 605837: 72.78340366745317, 417236: 68.52419103867223, 579619: 68.24781478622258, 501736: 67.81543862911946}"
85,650373,"{650373: 140.4392911391867, 457869: 61.45246614940202, 359783: 60.99823240607352, 334610: 60.762949835616475, 477478: 60.741158618905395}"
86,650374,"{650374: 177.20392589942534, 632606: 78.08497562569409, 661147: 77.1234581922741, 279467: 74.79606942078543, 642443: 73.35264107099108}"
87,650383,"{650383: 77.8720037255118, 652360: 50.10805594266108, 653896: 48.44492284774944, 620980: 47.90785817617977, 651515: 47.150043801321075}"
88,650470,"{650470: 195.34960147303354, 297707: 77.23046692030066, 730630: 64.7727551407079, 314811: 64.23019869878512, 237451: 64.16075199523289}"
89,650498,"{650498: 84.91472255965952, 650497: 54.82593734214228, 423177: 47.533262698155255, 642840: 46.7895592128897, 631884: 46.46947064008909}"
90,650510,"{650510: 156.55127544149187, 607971: 75.3858196708693, 646760: 73.64902403852307, 585946: 71.28921826661792, 656182: 70.37578898559204}"
91,650588,"{650588: 141.39686959038858, 649296: 75.69445248823877, 625014: 72.15904372028562, 670117: 70.46797402764099, 628838: 69.11428132315947}"
92,650631,"{650631: 162.4384199839519, 599146: 73.83699291838019, 302587: 68.73903524463553, 842525: 68.06530178830123, 284055: 65.63980015142542}"
93,650635,"{650635: 118.47610056963728, 654676: 54.66511438214781, 638458: 51.5213366552581, 596914: 51.07882034464797, 647737: 50.80246772700464}"
94,650644,"{650644: 228.94244081479718, 283209: 70.52970521010879, 294592: 69.51237234067841, 638961: 65.81284714062474, 587269: 61.61912349377289}"
95,650647,"{650647: 232.89612338495527, 541087: 101.3097112465381, 391094: 97.89994529523584, 347882: 92.16740899240908, 356276: 91.36434308957789}"
96,650649,"{650649: 237.57583739312213, 254833: 68.11860388290927, 643287: 65.22946748459306, 520546: 65.0257622139209, 660545: 63.41435727374731}"
97,650692,"{650692: 183.35905803435517, 730224: 51.32023591257757, 720215: 47.66927490695906, 903208: 47.45806285327103, 713630: 47.014959825485015}"
98,650734,"{650734: 108.35853063744246, 500100: 67.55785998097973, 294455: 66.1358237581205, 246973: 65.6226842957999, 628097: 65.4108688225788}"
99,650738,"{650738: 119.41862184293034, 649816: 68.09598552499016, 645030: 65.91484434545848, 584858: 61.63953316666733, 646426: 60.99996323756482}"
100,650844,"{650844: 225.85723774943634, 281683: 101.20597680541293, 439721: 99.28968764487153, 303855: 98.57483837204573, 297149: 96.55800894579116}"
101,650948,"{650948: 180.76119475825155, 688496: 67.36568319114258, 649455: 66.54657040143623, 406055: 65.8783687932164, 282081: 65.80505911307694}"
102,651008,"{651008: 114.65514251502029, 628779: 64.19890908149777, 452517: 61.31803158591085, 239352: 59.85301663386724, 619342: 59.3083132732569}"
103,651066,"{651066: 129.1017838420313, 484702: 67.94568963010926, 603216: 66.73989725866586, 533145: 64.5534645097013, 389226: 64.50845236271667}"
104,651068,"{651068: 185.6722401702649, 613270: 71.04040379066228, 329116: 67.39577893239058, 249009: 66.755742707642, 252722: 65.48689589935258}"
105,651098,"{651098: 189.67913275023142, 552033: 41.66051473043299, 733702: 41.15807815444501, 729400: 40.786832652675955, 823563: 40.291324725815116}"
106,651128,"{651128: 89.26503047565922, 611988: 47.36829403967521, 645789: 46.88093481524297, 621450: 46.84495662011049, 429914: 45.912578492808166}"
107,651182,"{651179: 265.2460008794159, 651182: 265.2460008794159, 596157: 71.85047786180978, 491991: 71.0473158371781, 433867: 69.48189541119486}"
108,651194,"{651194: 147.58516363231564, 613598: 62.38682593948864, 645587: 61.15950886967267, 277197: 59.95147273963634, 249927: 59.75547615933529}"
109,651213,"{651213: 185.15083135909708, 669202: 50.51842957246053, 479188: 45.19453472825942, 891596: 45.15219237990821, 672095: 43.391294542089106}"
110,651239,"{651239: 158.65392183887573, 579613: 70.99072935680194, 628838: 69.11428132315947, 657623: 69.11428132315947, 566579: 68.18568830831022}"
111,651259,"{651259: 150.30354301159335, 718758: 79.2790298814766, 553330: 68.79159082599718, 248028: 65.18384690461347, 648912: 65.0120279231787}"
112,651282,"{651282: 178.60280535860542, 406737: 50.00484925770169, 632606: 49.859349077714796, 285954: 49.54766929727063, 440089: 49.39860353808448}"
113,651329,"{651329: 98.09387327319183, 598934: 53.09697007625734, 594282: 52.29667579845731, 421964: 51.72558483775904, 597107: 49.640816468482576}"
114,651337,"{651337: 112.15937271292952, 261908: 63.711903131220865, 649455: 63.62786615145595, 455824: 62.99090718813693, 610260: 62.78599959900444}"
115,651339,"{651339: 188.3299150374467, 594528: 70.00894260060596, 256855: 69.17773391375938, 247101: 68.71768289434713, 594447: 65.67320742879905}"
116,651443,"{651443: 163.65623104190053, 591582: 50.11961193506238, 426004: 40.70353267362759, 546312: 34.51369856361973, 685902: 27.530062534724145}"
117,651605,"{651605: 284.66077418618335, 426994: 70.53931995399219, 658860: 68.06048670705997, 577601: 67.98532144963224, 324150: 66.61403590580433}"
118,651610,"{651610: 53.85067855861819, 553440: 28.80458089899158, 242797: 25.023998794459743, 575091: 22.891407030923524, 249851: 22.635934111804875}"
119,651829,"{651829: 194.93971141227087, 376606: 67.08567528374404, 470599: 67.02883075882131, 329281: 65.23317184412605, 659507: 64.79902706583866}"
120,651835,"{651835: 140.41676190094003, 322681: 74.52691530634337, 647510: 74.43601713251559, 631860: 74.43101149189047, 492743: 72.19907403483566}"
121,651836,"{651836: 152.80583012637686, 660786: 63.97420347538973, 622803: 63.68519755084239, 624973: 62.68435817847639, 590320: 62.6263693073931}"
122,651893,"{651893: 202.0633326760895, 649816: 69.50432764297966, 350526: 67.82432257420759, 587314: 67.05834818427735, 642309: 66.55407898649649}"
123,651941,"{651941: 143.0290230612255, 644409: 34.01072343485678, 466752: 33.494388894925535, 460935: 32.594054655531686, 500407: 31.845966447086752}"
124,651967,"{651967: 281.8721571288845, 431497: 62.39400378157732, 599415: 62.06596763488592, 494573: 61.80800483699893, 219071: 61.14918426163341}"
125,652013,"{652013: 81.5641082819445, 648714: 70.62071105977188, 652360: 68.88617713843318, 596468: 67.23480534100302, 590282: 65.05416305354088}"
126,652041,"{652041: 249.12649242097302, 503263: 134.55783590441138, 443200: 127.27209553559045, 745655: 117.50102543763454, 600053: 114.47359863092206}"
127,652069,"{652069: 207.20599709258877, 619857: 75.3468855066327, 549838: 70.30926612455114, 512131: 69.1449657978333, 315472: 68.9268999798583}"
128,652103,"{652103: 176.02247281076328, 504322: 76.54163425869957, 784630: 72.87861509097819, 644996: 72.71344302464028, 260581: 70.09524375957861}"
129,652322,"{652322: 143.1707250455453, 615182: 72.34961479119482, 487788: 72.07444858619455, 471949: 69.97386624923226, 473609: 69.82810129256951}"
130,652347,"{652347: 148.1833931424976, 253565: 72.541127777934, 617758: 72.00510221172321, 648713: 71.37124408454761, 550841: 70.3395167546544}"
131,652360,"{652360: 93.34045936500499, 596468: 85.33906187055628, 652013: 71.52115197070458, 648714: 70.62071105977188, 583081: 70.10229574231963}"
132,652434,"{652434: 171.91532329742188, 652435: 68.7953122222226, 270151: 63.891183079413906, 286437: 62.08481842152281, 351091: 60.9998318229052}"
133,652435,"{652435: 99.9103676022113, 652434: 59.119358492179494, 569802: 54.16760160416458, 641596: 48.67882536060198, 358146: 46.95949532481684}"
134,652458,"{652458: 91.4386435213374, 656182: 61.71426612149556, 351635: 61.64633293258419, 244875: 60.57765231800495, 261908: 59.80361088311093}"
135,652471,"{652471: 248.48711637875095, 647982: 72.08089418329257, 417810: 71.64215711253003, 260448: 71.56568069073838, 389560: 71.07308327258762}"
136,652477,"{652477: 192.71661972075688, 649780: 69.51264406367143, 300971: 66.51360762129363, 648333: 66.3708501700429, 649018: 65.72398311824966}"
137,652479,"{652479: 162.9892097433921, 648816: 69.75685773528998, 739920: 66.89324032783264, 641739: 64.18126221186, 665975: 63.54167581105183}"
138,652496,"{652496: 162.70494218082305, 356281: 68.74321885917935, 239812: 66.49730105945243, 692725: 65.71248582651111, 409421: 64.50505146554269}"
139,652681,"{652681: 128.46442636513154, 280575: 63.97713845218983, 318785: 63.96564706231164, 428252: 63.61138820603462, 255373: 63.129417671392716}"
140,652819,"{652819: 212.5790542795419, 945049: 60.179155571961786, 474167: 59.58353577131058, 328846: 58.90840073730061, 648217: 58.42639061400817}"
141,652825,"{652825: 125.89110904476092, 614836: 52.73136575579355, 266704: 52.533709354687275, 282170: 51.36424526225888, 412966: 51.177374994515745}"
142,652898,"{652898: 121.66703573445123, 496641: 53.94799751133572, 643650: 52.80716806722195, 429400: 50.96818594053559, 946103: 50.70729241109173}"
143,653008,"{653008: 207.15998450478725, 484986: 58.13744176811217, 686623: 57.93600013998997, 625495: 57.230444615704684, 291154: 55.89913537069221}"
144,653025,"{653025: 137.7715422384426, 523092: 74.1117361272068, 563588: 55.38363247888828, 432969: 52.46848416943279, 586616: 51.66212221494788}"
145,653082,"{653082: 121.00297934507125, 653084: 45.958336076413254, 700061: 33.690442377213465, 715892: 32.868789818874006, 215801: 28.754887672615578}"
146,653204,"{653204: 152.15203781813517, 603932: 75.21746518875646, 590926: 70.25275837223755, 253577: 66.24503460664226, 324708: 65.8246323651296}"
147,653360,"{653360: 129.25916562428486, 661725: 73.6278363242876, 645995: 71.77748196772576, 771410: 70.21229159025093, 793371: 67.79149498092566}"
148,653388,"{653388: 134.56633720638166, 517843: 57.64317300337804, 518282: 51.49586988942595, 549643: 50.683052219767966, 642123: 50.62245623149304}"
149,653508,"{653508: 119.00662898013046, 268117: 59.131324710636534, 266705: 57.31840110619061, 529710: 57.05620717762153, 645567: 54.92025481904337}"
150,653638,"{653638: 186.5240996522771, 833950: 68.22232777920934, 384711: 67.69361386501191, 456881: 65.70927596952696, 535825: 65.69699820935028}"
151,653759,"{653759: 110.47386898253372, 662143: 62.56998135290851, 393439: 61.1633831486951, 286891: 60.69790233966452, 654642: 60.45089972919442}"
152,653845,"{653845: 188.71597132102792, 409098: 71.18905338702197, 413211: 70.55230990024084, 487211: 67.22794886695739, 591826: 65.70963557483643}"
153,653855,"{653855: 130.41047855256903, 260269: 70.97415846576178, 655946: 70.7865950360061, 290913: 70.53381482363714, 404852: 69.78063349075478}"
154,653900,"{653900: 136.04027105746974, 315472: 62.90953349478053, 642357: 62.354513218939815, 393540: 61.17183585227354, 260032: 61.00110610143783}"
155,653927,"{653927: 104.95435159900049, 652319: 69.28818623694511, 577485: 60.903313317070015, 610113: 59.49838726737852, 645570: 55.632834183370655}"
156,653966,"{653966: 199.92823945580497, 494413: 67.35819961189394, 843528: 65.21813437998819, 425226: 64.76853629070509, 599678: 64.67586548894964}"
157,654016,"{654016: 149.87786941109957, 919213: 69.2352914122484, 644939: 60.827095739163866, 359298: 60.46699161446261, 402187: 59.709465047711824}"
158,654023,"{654023: 113.19043868923745, 654022: 106.29278489061528, 642176: 46.13828250539641, 714942: 28.070282539760345, 653934: 27.545965646631792}"
159,654102,"{654102: 119.06435557699473, 628838: 69.11428132315947, 657623: 69.11428132315947, 566579: 68.18568830831022, 610637: 67.28171692686412}"
160,654192,"{654192: 222.06238154939794, 388188: 57.436694182592746, 800565: 56.93584833988803, 647676: 56.594325524532785, 338490: 56.49103213687901}"
161,654230,"{654230: 188.86285084599874, 432350: 53.20631697346313, 548243: 52.636227883199915, 658521: 52.53817945354819, 330042: 52.25745873296876}"
162,654247,"{654247: 141.26633540095466, 652360: 82.7644657650384, 632839: 78.19385824234021, 596468: 75.0166009572082, 598087: 74.88522246671606}"
163,654316,"{654316: 96.0967637517073, 654935: 37.584967267570356, 885347: 34.974121684102116, 620720: 30.75247888193374, 655378: 29.18285582918611}"
164,654466,"{654466: 71.66755806379652, 656310: 51.5399570838116, 660521: 48.243422724935826, 280417: 47.94817388215344, 655981: 47.586415272694055}"
165,654584,"{654584: 140.50335454980006, 643835: 71.45241541482346, 597201: 66.67045027573198, 615127: 64.90247718765073, 426433: 64.53699618553479}"
166,654642,"{654642: 201.2635560185973, 653759: 69.6498998491653, 311847: 59.902264641333794, 317089: 59.325052222858496, 286891: 58.83010335983411}"
167,654681,"{654681: 233.9706041703635, 503752: 78.82671359781989, 394265: 77.9998699038714, 533737: 77.29505593207719, 667382: 75.89151171177379}"
168,654684,"{654684: 221.2872575222363, 478738: 98.52187188912252, 824653: 87.52999449961189, 849562: 87.44951547777502, 421880: 87.17147277921947}"
169,654846,"{654846: 175.08249469420082, 730222: 103.74354292643733, 552976: 94.68160351875531, 702947: 89.66698574828295, 680336: 84.79710526529638}"
170,654901,"{654901: 159.7507678578054, 637063: 66.67841748880318, 445201: 66.20037280278888, 292467: 61.81835385018599, 301549: 60.87224292821029}"
171,654902,"{654902: 101.94616913352554, 402645: 68.53967211002207, 549548: 66.42288678443839, 582516: 66.14687471864126, 329378: 65.81240227487334}"
172,654907,"{654907: 60.19791910174708, 418088: 33.99403596466883, 582566: 31.38992697455888, 207970: 30.822067026612093, 253890: 30.819141807631663}"
173,654947,"{654947: 145.50001630217886, 654941: 48.140196693378385, 623857: 46.778810294778616, 499479: 44.99307815502879, 255440: 44.88081475239039}"
174,654952,"{654952: 121.17360566501767, 543594: 63.97894275202834, 520939: 63.715972090468114, 479573: 60.902950069961854, 518362: 60.57124506874156}"
175,655019,"{655019: 193.98841393290755, 246009: 76.19287761151254, 646051: 70.1514376829214, 317968: 69.95056209887967, 297000: 69.4850725103106}"
176,655026,"{655026: 101.55000023626886, 320707: 60.98189288801137, 429482: 58.80157545316631, 333327: 58.79012327582707, 438060: 57.641587221113575}"
177,655038,"{655038: 114.42622197982058, 655041: 79.84479904718063, 654960: 72.84529355035716, 289033: 58.91832072794812, 456542: 56.713373879490106}"
178,655041,"{655041: 409.86269549176325, 655038: 114.42622197982058, 654960: 72.84529355035716, 289033: 58.91832072794812, 456542: 56.713373879490106}"
179,655106,"{655106: 53.91689958580836, 504568: 22.69562202803935, 553395: 21.273493722209903, 762315: 20.819235490756757, 275867: 20.42915929365148}"
180,655194,"{655194: 114.56999731522775, 621289: 58.16602785615588, 536032: 56.613677582313585, 655234: 55.71341957616502, 427268: 55.541790858809044}"
181,655232,"{655232: 152.27096793229308, 502852: 50.46677869116431, 285923: 50.45189120618666, 690678: 48.0532921628546, 611293: 47.935983743491676}"
182,655234,"{655234: 97.71120705803096, 655194: 53.68573284887361, 649526: 51.77341092626459, 579288: 51.181304355888116, 655248: 48.196390600891945}"
183,655360,"{655360: 219.55146181143, 491387: 75.73927326971534, 641378: 74.78697114684648, 383082: 74.64963578628226, 365366: 71.5316268682269}"
184,655433,"{655433: 111.60601302349372, 655248: 50.48410691150642, 425770: 49.21633168319435, 621481: 49.02627142184546, 655234: 48.78250327147211}"
185,655441,"{655441: 144.6089314022788, 660510: 61.76066302410552, 407480: 61.499903766406376, 583998: 61.23618247607369, 262459: 61.220954817367655}"
186,655502,"{655502: 165.3752693596524, 583560: 61.34875894140767, 660460: 60.977351846316225, 525778: 60.68490012360108, 606090: 60.6789500765623}"
187,655532,"{655532: 156.63056562690605, 546127: 66.5404175231696, 611031: 66.3602402370575, 294032: 65.98938677188235, 246509: 64.63040569664763}"
188,655599,"{655599: 177.62592355614234, 583316: 77.95904879255743, 285329: 75.69891129402276, 831017: 75.43571944848443, 656106: 74.62633249698482}"
189,655631,"{655631: 120.38943721529684, 720805: 84.68544361911957, 338132: 71.64839743258389, 647121: 69.86974820132079, 234766: 68.65788434800886}"
190,655634,"{655634: 161.6668248780564, 372095: 59.83798552807167, 249371: 59.20740044621369, 316505: 58.59119665913555, 454382: 58.488268445475086}"
