,Unnamed: 0.1,Unnamed: 0,original,duplicate
48,48,48,233297,"{33507: 0.9775642020768803, 28960: 0.9720135967856691, '232666': 0.9678057938403424, 17474: 0.9680227939267283}"
49,49,49,233311,"{'233301': 0.9866018603495949, 5892: 0.988518338388578, 15800: 0.9865265324555366, 47015: 0.9865042919333444}"
50,50,50,233345,"{225: 0.9877546790849978, 10412: 0.9863995916595147, '232823': 0.984977346724054, 18453: 0.9846516702142393}"
51,51,51,233353,"{51688: 0.9892580412541006, 8710: 0.9878671515779471, 30888: 0.9878475173398472, '233073': 0.9869754203783373}"
52,52,52,233443,"{4110: 0.9845870127954882, '232832': 0.9830052507085887, 52423: 0.9832348187221144, 70134: 0.9826046184894135}"
53,53,53,233444,"{11450: 0.9822815072234086, '232840': 0.9776420558184931, 225: 0.9770320209568418, 242: 0.9752263473094274}"
54,54,54,233447,"{74338: 0.9859256695269872, 201: 0.9858413049357213, 16902: 0.9850992261020584, '216051': 0.9847161816216243, '195844': 0.9846138986069507}"
55,55,55,233503,"{83809: 0.9855926407635991, '173988': 0.9835405318755666, 60672: 0.9832509657083481, 15274: 0.9826292933522163}"
56,56,56,233534,"{18930: 0.9824659219983644, 241: 0.9759049603137533, '212086': 0.9744591969795547, 20524: 0.9747409863694705}"
57,57,57,233598,"{24563: 0.982709601368645, '231500': 0.9814370908383505, 16767: 0.9813843789797344, 43237: 0.9813082200013159}"
58,58,58,233675,"{8819: 0.9929410810571723, 30950: 0.9906734330301757, 9414: 0.9906377311260036, '220852': 0.990241676434909}"
59,59,59,233750,"{10006: 0.9892057839304227, 49414: 0.989035083835685, 3991: 0.9889501922704312, 48961: 0.9888642093528867, '233073': 0.9884533970177878}"
60,60,60,233759,"{'186360': 0.9876031561464209, 55022: 0.9861810516224222, '138285': 0.984525932636005, 10545: 0.9845234108374443, 8710: 0.9843559997101636}"
61,61,61,233841,"{38331: 0.9759868707437579, '227665': 0.9752001650991365, 26601: 0.9753293043146914, 45812: 0.9749828178180975}"
62,62,62,233951,"{24382: 0.9839505319138518, '218200': 0.9828522214314978, 36461: 0.982818178707324, 52595: 0.9827924083521326, '199842': 0.981861042099375}"
63,63,63,234006,"{'233969': 0.9767850082934884, 70243: 0.977389490456943, 47783: 0.9773020178134779, 22628: 0.9763540024189091}"
64,64,64,234051,"{48589: 0.9901675374515667, '224278': 0.9880277749807947, 58890: 0.9879383035684259, 36461: 0.9877398970216847}"
65,65,65,234218,"{'120510': 0.9904115879221261, '115647': 0.9878208735527365, 51687: 0.9869162502086287, 30888: 0.9864958424546835, 32377: 0.9858953648614488}"
66,66,66,234271,"{8: 0.9702558108028935, 76130: 0.9686222230312038, '234270': 0.9656995841933103, 72260: 0.9655260827295526}"
67,67,67,234272,"{9458: 0.9727924495443979, '234270': 0.9716429132546591, 24557: 0.9721088464513619, 36629: 0.9704167630124368}"
68,68,68,234284,"{'88851': 0.9848318904058907, 5: 0.9846503579754875, 22940: 0.9836131989266258, 33215: 0.9831413285818816, '67500': 0.9827161188970498}"
69,69,69,234290,"{'224594': 0.986748284614717, 79626: 0.9858856247912664, 21545: 0.9851876406049125, 77782: 0.9849031077295872}"
70,70,70,234349,"{'232823': 0.9867574567579579, 57217: 0.9857064894851661, 75745: 0.9856260466298317, 5853: 0.9851480516789756}"
71,71,71,234436,"{'202819': 0.961427240497635, 36171: 0.964905507240906, 21638: 0.9642332161541307, 39319: 0.9592189306975831}"
72,72,72,234443,"{'232533': 0.9842296756610214, 47099: 0.9845254638963414, 38222: 0.9844651358105181, 74916: 0.9842269706114652}"
73,73,73,234482,"{225: 0.9915181187976612, '53344': 0.9873346231693222, 10545: 0.9881366142034533, 37905: 0.9877992480168499}"
74,74,74,234613,"{37298: 0.9755170674271042, '231794': 0.9735879898886827, '196036': 0.9728389129291893, 37192: 0.9725867143296557, 37976: 0.9719691948841959}"
75,75,75,234649,"{'215402': 0.9814378925688096, 41: 0.9811323109663648, 39725: 0.9801008391402627, 561: 0.9788869482287804}"
76,76,76,234728,"{1970: 0.9879488007220798, 4927: 0.9874701049130062, '49996': 0.985273847592108, 32615: 0.9861421323432756}"
77,77,77,234744,"{'198591': 0.9728254148504097, 16798: 0.9732067925706246, 6218: 0.9722759609494167, 14724: 0.9713931382980833}"
78,78,78,234773,"{14685: 0.956292257633096, '209243': 0.9561602574891068, 60999: 0.9557873068065144, 37646: 0.9549012334316294, '214831': 0.9543741780828111}"
79,79,79,234806,"{48473: 0.993152814340729, 22094: 0.9925048130463839, 74525: 0.9923500589604521, 48493: 0.9923222586960831, '120631': 0.992222008723942}"
80,80,80,234968,"{1686: 0.988813163252195, 47015: 0.9884343626008658, '229474': 0.9881813961782447, 2279: 0.987497619872508, 5467: 0.9873195003643539}"
81,81,81,234998,"{9036: 0.9944505081195064, '145997': 0.9930947385478368, 51191: 0.9932943810116253, 10970: 0.9932570719584006}"
82,82,82,235016,"{'233051': 0.9933474912511733, 66733: 0.9935906058115985, 13594: 0.9935123673172989, 4193: 0.9933886177204172}"
83,83,83,235166,"{8: 0.965484401197719, 275: 0.9636221450690334, '235157': 0.9615760481445241, 4944: 0.9611180179978452}"
84,84,84,235219,"{41125: 0.9877936322533735, 5539: 0.9876383508166172, '197826': 0.9873819778952613, 9932: 0.9873589645556199}"
85,85,85,235234,"{'227558': 0.978171597931645, 474: 0.9786221862812035, 5765: 0.9781081837453318, 41508: 0.9779638112506736}"
86,86,86,235278,"{56578: 0.9844174835346241, '232578': 0.9837374367667338, 60192: 0.9837306334202726, 79922: 0.9836716386474628}"
87,87,87,235348,"{85020: 0.9942616978101779, 7647: 0.9941408083458303, '234262': 0.9933571019497349, 45617: 0.9930943477042001}"
88,88,88,235373,"{24781: 0.9870294234372268, 45354: 0.9870033406042454, '235018': 0.9867689653707401, 28971: 0.9866245547465675, 32456: 0.9858178866333456}"
89,89,89,235541,"{41524: 0.9836159637042295, '235020': 0.9834296924688162, 48599: 0.9830034745165876, 30574: 0.9828865750056621, 22407: 0.9827853607169141}"
90,90,90,235759,"{'214092': 0.984543244892884, 127: 0.9837486272427891, 8291: 0.9830399790122483, '227067': 0.9823109298317104, 19454: 0.9820583913362676}"
91,91,91,235763,"{'231776': 0.9766981067864199, 32236: 0.9794249160033786, 41597: 0.978154689878389, 16693: 0.9771012528757943}"
92,92,92,235833,"{33239: 0.9583078344824034, '227067': 0.9543591680038972, '229882': 0.9514416574480455, 1586: 0.9506127794752929, 2407: 0.9495888604873155}"
93,93,93,235970,"{18841: 0.9792615123112864, '83812': 0.978982217803924, '78289': 0.9787829489519, 9071: 0.9786201221315887, 41369: 0.9785330695113692}"
94,94,94,236061,"{'129271': 0.9858867055955061, 15733: 0.9862765937987392, 2418: 0.9857893237581186, 12764: 0.9854770858098336}"
95,95,95,236078,"{25823: 0.9835304435724583, 37209: 0.982545453947721, '235661': 0.9816726266202839, 357: 0.9821403316727093}"
96,96,96,236292,"{7973: 0.994557279778961, 7053: 0.993492389981189, '236200': 0.9931513805423345, 80254: 0.9929028924875267, 19675: 0.9927219512055743}"
97,97,97,236302,"{'236093': 0.9947126913911989, 21016: 0.9945886566891294, 70172: 0.9944007558102386, 51681: 0.9942880537697699}"
98,98,98,236324,"{11380: 0.9720501551290776, '218412': 0.9709778718517821, 57470: 0.9714251341974592, 18833: 0.9712721580751229}"
99,99,99,236372,"{12061: 0.9895857847720684, '225315': 0.9895339273069883, 7499: 0.9895171455413029, 5855: 0.9890774026279806, 51401: 0.9878767573518737}"
100,100,100,236405,"{8: 0.9668846181355839, '182935': 0.9648181181581907, 47783: 0.966376211689857, 19820: 0.9647501415303434}"
101,101,101,236418,"{8746: 0.9893873961879482, 13281: 0.9875775328914344, 2822: 0.9870579122636793, 75756: 0.9870024863971231, '232546': 0.9859514777088262}"
102,102,102,236440,"{6187: 0.9852925232446833, '78244': 0.9846625618612563, 1907: 0.983642561413164, 403: 0.9834084636961279}"
103,103,103,236513,"{57408: 0.9637803901179252, '235234': 0.9618699205682598, '227558': 0.9610985875205417, 32907: 0.960999008356344, 30148: 0.9601749466558093}"
104,104,104,236761,"{39068: 0.9874265624090459, '219718': 0.9843484754132391, 37819: 0.9861011994838654, 72415: 0.9845934882780207}"
105,105,105,236833,"{'61406': 0.9918827599897015, '176690': 0.9914874443193188, 32741: 0.9907923527307645, 3607: 0.9901986510878361, 10006: 0.9900155136160012}"
106,106,106,236970,"{'236513': 0.989523256075123, 24509: 0.9882549633294202, 6219: 0.9879949374177537, 79658: 0.987876855742446, '225315': 0.9878449681043827}"
107,107,107,237001,"{'170025': 0.9801834245786395, 84094: 0.9809059443662979, 50437: 0.9789472045347138, 40262: 0.9779188895534234}"
108,108,108,237056,"{78809: 0.993728020502529, 65790: 0.9928919833963121, '235307': 0.9912343170994702, 63114: 0.991950545170771}"
109,109,109,237077,"{2231: 0.9812126429431691, '232840': 0.9792729834111442, 72492: 0.9789920939751146, '233444': 0.9789004375415905, 39725: 0.9788931300336595}"
110,110,110,237095,"{16850: 0.9921559755190227, 6312: 0.9920625915024656, 32269: 0.9919756425313231, 76654: 0.9919451253792714, '22343': 0.991910776908888}"
111,111,111,237160,"{78809: 0.9910817934391765, '33710': 0.9859421078423869, 56254: 0.9852450075423409, 77574: 0.9849773985010322, 33750: 0.9842578297916955}"
112,112,112,237296,"{46877: 0.9718449255442128, 10874: 0.9716516441156082, '218274': 0.9713991871281435, 9071: 0.9699705846567278, '201098': 0.9694436655330707}"
113,113,113,237326,"{33499: 0.9821955740060995, '120631': 0.9801391227507574, 63325: 0.9811704632352986, 69895: 0.9799177745531226}"
114,114,114,237443,"{54709: 0.9819424010856442, 14263: 0.981119896185634, '182935': 0.9801398586641491, 11280: 0.9801634034393648}"
115,115,115,237463,"{'119085': 0.9668781864544357, 1884: 0.9666093303913776, 42794: 0.9656710168001135, 22660: 0.9649268985081441}"
116,116,116,237573,"{18230: 0.9765410688955208, '231661': 0.9750804681251588, 935: 0.9760645900596743, 12759: 0.9753362735876564}"
117,117,117,237598,"{32881: 0.9771048105660894, '205406': 0.9733403640720915, 36737: 0.9750943028862523, 5806: 0.9738502790142775}"
118,118,118,237705,"{'236922': 0.9914678929761312, 22641: 0.9917342421971012, 76014: 0.9913587381060937, 24489: 0.9912824776903363}"
119,119,119,237783,"{5765: 0.9897145563685814, '99531': 0.9894069212477212, 21198: 0.9874619263192533, 5467: 0.9871963585603344, 74916: 0.98669818090265}"
120,120,120,237792,"{33507: 0.9793921848746707, '232666': 0.9768281378025958, 5300: 0.9782430557699592, 54316: 0.976837671853244}"
121,121,121,237830,"{'229245': 0.9800509877773468, 6218: 0.9802463451397262, 280: 0.9799861850347897, 84842: 0.9787010524474161}"
122,122,122,237906,"{44986: 0.9912158842748218, 62972: 0.9908837088213795, 70636: 0.9907844990642153, '196723': 0.990735654703169}"
123,123,123,238033,"{'236724': 0.9798920053149692, 39891: 0.9791416189634246, 36926: 0.9790579119498328, 33575: 0.9786877351476927, 65794: 0.9785066782524593}"
124,124,124,238080,"{'230408': 0.9774095267503786, 68293: 0.9786694359841912, 22085: 0.9784945183410759, 2004: 0.9773395989538588}"
125,125,125,238103,"{'221608': 0.993286176316068, 248: 0.9920393463425388, 74916: 0.9914324471983476, 63687: 0.9911770060306958, 2448: 0.991041164629835}"
126,126,126,238117,"{'172076': 0.9759222405518859, 43034: 0.9748628094242701, 24565: 0.9740329851052864, 1339: 0.9727172354491489, 19060: 0.9726839681807598}"
127,127,127,238299,"{2448: 0.9770356536792325, 40369: 0.9767407484422815, 4418: 0.9765654838619559, '209245': 0.9756516476560894}"
128,128,128,238318,"{5892: 0.9892606792130704, 70934: 0.9864093037454371, 39725: 0.9862826538472899, '191060': 0.9862567749181395, 157: 0.986176569376701}"
129,129,129,238327,"{'55380': 0.9850579450276451, 45612: 0.9845483132334368, 62749: 0.9837385177765743, 62692: 0.9836752281782524, '148401': 0.9836514208548395}"
130,130,130,238435,"{51468: 0.9802168767306895, 5765: 0.9797634815213624, 2403: 0.9794286523279538, '224314': 0.979044785814763, '228401': 0.9790288564901698}"
131,131,131,238438,"{26720: 0.9894748702729269, '236524': 0.9878670287195026, 4166: 0.9884815192561107, 4139: 0.9878277809856443}"
132,132,132,238440,"{'237348': 0.9836693200067713, 56701: 0.9820892180114861, 69493: 0.9820477075847709, 32106: 0.9813826231718319, 5016: 0.9812479696283455}"
133,133,133,238452,"{22548: 0.9827588351959747, 57487: 0.9815861356574633, 74456: 0.9801691172176116, '104701': 0.9797276331729766, 21592: 0.9797030648674311}"
134,134,134,238491,"{'235315': 0.9763727659276528, 48082: 0.9790374147781817, 41115: 0.9780654713257898, 36779: 0.9761395929386001}"
135,135,135,238522,"{28303: 0.9876714217829478, 81579: 0.9847398172799848, '214092': 0.9843668986714889, 73306: 0.9839439578611703, 12: 0.9838190872695954}"
136,136,136,238527,"{9458: 0.9736075742540783, 13957: 0.9723343556547006, 24557: 0.9723320290027931, '237792': 0.9707179241190314, '233297': 0.9697317703034615}"
137,137,137,238557,"{'228401': 0.9862661874306511, 20651: 0.9857338726905988, 10552: 0.9854309605654838, '224314': 0.9852876235137156, 302: 0.9851907055867241}"
138,138,138,238612,"{'238544': 0.963242330822447, 45054: 0.9656003654966177, 22628: 0.9645565166383872, 24583: 0.9637349730502868}"
139,139,139,238642,"{78666: 0.9817081162282102, 75233: 0.9807234024593567, 84046: 0.9801511799394675, 74676: 0.9791535048352283, '238522': 0.9777953159736796}"
140,140,140,238647,"{48646: 0.9806395929997541, '153432': 0.9779719159600082, 16901: 0.9786014216823549, 52606: 0.9778088611011956}"
141,141,141,238661,"{31597: 0.9829795709671612, '191580': 0.9825573143502326, 48636: 0.9823475188906483, 21303: 0.9822119146220265, 53228: 0.9820143501525816}"
142,142,142,238676,"{'213194': 0.9830855185918235, 6514: 0.9828832557328959, '227665': 0.9822769825412674, 64436: 0.981711714478739, 80903: 0.9814254719920831}"
143,143,143,238700,"{64436: 0.9837067487440637, 8710: 0.9795841407989619, 5892: 0.9793868500937118, '233841': 0.9793078077112914, 34218: 0.9789985153178776}"
144,144,144,238749,"{16076: 0.9769989535562077, '213487': 0.9757507090023277, 40973: 0.9766084306805949, 393: 0.9752612897298509}"
145,145,145,238873,"{'224314': 0.9357341116762911, '235833': 0.9179095745440115, 2061: 0.9112713523690845, 5899: 0.9071349201900607, 2479: 0.9068787114092891}"
146,146,146,238877,"{76519: 0.9866178194494264, '233416': 0.9847466889485488, 12274: 0.9842974159972576, 26547: 0.9821203567638045, 62749: 0.982058058275133}"
147,147,147,238928,"{34787: 0.9818077430827814, 19023: 0.9792972159980536, '238438': 0.9789360655292223, 17659: 0.9790262858793185}"
148,148,148,239005,"{'74224': 0.9514682822201939, '137188': 0.9512644152623337, 54813: 0.9445752204442457, 63538: 0.9439959093457059, 44608: 0.9410718589123517}"
149,149,149,239039,"{'238873': 0.9792224474367066, 393: 0.9789818691044745, 15079: 0.9786862678752972, '227067': 0.9781522898640597, 40430: 0.9778462569699395}"
150,150,150,239122,"{'166378': 0.9870648824902716, 50463: 0.9869013111766202, 18524: 0.986878470323567, 29709: 0.9866622187640186, '217113': 0.986501325825377}"
151,151,151,239126,"{'225334': 0.9805694126049184, 24122: 0.9817836397786471, 70196: 0.9815808243757498, 2427: 0.9809639646452014}"
152,152,152,239209,"{6781: 0.9817764620465952, 16902: 0.9812693503393778, 6446: 0.9807884465274291, 34734: 0.9806494130537605, '227665': 0.9799241756722945}"
153,153,153,239465,"{36495: 0.9888539598959483, '131575': 0.9869462516252062, 64436: 0.9865848642732917, 1592: 0.9853839702302464, '198583': 0.9852616496280954}"
154,154,154,239484,"{'239482': 0.9613178654668848, 68953: 0.9614419153357481, 27506: 0.9612236639093602, 46816: 0.9608385464237935}"
155,155,155,239504,"{21084: 0.9587261581221304, 47878: 0.9573363976229181, 2360: 0.957258734419438, '211255': 0.9558033220625469, 59252: 0.9556248666953424}"
156,156,156,239537,"{'239109': 0.9857081276498465, 5426: 0.9853456280651248, 84764: 0.9848533240439326, 13582: 0.9844727617033625}"
157,157,157,239588,"{15218: 0.9881244601028486, 18524: 0.9870337178590949, '86973': 0.9869827568072581, '210761': 0.986858171814448, 24652: 0.9866676556107941}"
158,158,158,239681,"{'213194': 0.9740847127487935, 83: 0.9738409853463897, 15716: 0.9733876329552767, 2360: 0.9695712257420123, '238700': 0.9690788851344334}"
159,159,159,239714,"{82045: 0.9781659187428746, 63289: 0.97690186228201, '239713': 0.9723584340411429, 70645: 0.9724863615604791}"
160,160,160,239732,"{54813: 0.9425819097004331, 24085: 0.9423226186821906, '196428': 0.9396758657745022, 44608: 0.9402836180422285}"
161,161,161,239772,"{81746: 0.9940701487341257, 33835: 0.994069973000182, '239771': 0.9937176682266937, 37674: 0.9937422404876358}"
162,162,162,239774,"{81746: 0.9940701487341257, '239772': 0.994069973000182, 33836: 0.9938563941511968, '239771': 0.9937422404876358, 71327: 0.9937176682266937}"
163,163,163,239785,"{64436: 0.9867113869208151, 393: 0.9863281969931555, 9391: 0.9847098379925476, 18808: 0.9844693930835995, '212805': 0.9844500672067058}"
164,164,164,239869,"{'236472': 0.9849111459384603, 37471: 0.9856327588768022, 23082: 0.9849532624122752, 62775: 0.9848843131548567}"
165,165,165,240052,"{5806: 0.9685118530881455, '213194': 0.9672291382886199, '238676': 0.9671156618875075, 39725: 0.9660460460101213, 24480: 0.9655615379468425}"
166,166,166,240109,"{23904: 0.9481412589304986, '182017': 0.9471921320863921, 36383: 0.945402276782664, 57799: 0.9453060966587729, '181410': 0.9452053477467857}"
167,167,167,240222,"{5933: 0.9833291207293561, 22098: 0.9821582076733788, '236775': 0.981130083039331, 70876: 0.9813365024316004}"
168,168,168,240232,"{'80894': 0.996066403442295, 415: 0.9964243450468074, 3756: 0.9960720002690634, 27367: 0.9960262186480738}"
169,169,169,240369,"{22952: 0.9770374105009179, '196346': 0.9713310128607925, 47783: 0.9737109113566129, 23427: 0.9711388427665663}"
170,170,170,240393,"{39839: 0.9922749559507681, 71893: 0.9912155505717959, '240388': 0.990984171495351, 42356: 0.9910433640749793}"
171,171,171,240395,"{'240393': 0.9925721478149678, 5935: 0.991829994894485, 40040: 0.9917757227647859, 9611: 0.9916971423719131, 4878: 0.9916909943360757}"
172,172,172,240642,"{'236615': 0.9840063083233164, 20647: 0.9855650705975048, 33480: 0.9847900769655829, 68486: 0.9847703746461265}"
173,173,173,240736,"{238: 0.9840790489512267, '238928': 0.9833873511207983, 38314: 0.9830922112458854, 1879: 0.9830796058045534, 39725: 0.9828550105229099}"
174,174,174,240817,"{5731: 0.9868145327566145, 5765: 0.9864840216441905, 34901: 0.9860924329655423, '186220': 0.9846814963052033, 56882: 0.9845019674014723}"
175,175,175,240977,"{26827: 0.9858199553178082, 5765: 0.9828328728668808, '88851': 0.9827086785096901, '234284': 0.9819331360558314, 25933: 0.9818599096485415}"
176,176,176,240981,"{9932: 0.9855022644444786, 47926: 0.9843441016843281, '240329': 0.984175108782484, 15371: 0.9836621936211272}"
177,177,177,241013,"{'236524': 0.9849125764541291, 7989: 0.9843106872703344, 65277: 0.9842066539308023, 15256: 0.9835534644216869}"
178,178,178,241086,"{57708: 0.9935317114141694, '236724': 0.9928736164445574, 59192: 0.9928672199679216, 32741: 0.9926330067337586}"
179,179,179,241094,"{74916: 0.9929731875162555, '238877': 0.9925460241539515, '233416': 0.9921391813329273, 45572: 0.992060131972004, 41687: 0.9915855474601607}"
180,180,180,241112,"{12382: 0.9882205174581604, '241013': 0.9869641108753715, '238438': 0.9864881837804442, 12878: 0.9864237435103959, 37555: 0.9859690450631873}"
181,181,181,241142,"{'240129': 0.9885037337814643, 50915: 0.9895018996421437, 16902: 0.9892833905743547, 127: 0.9889466695194197}"
182,182,182,241456,"{28879: 0.989905186122984, 15314: 0.9890382017754469, '213891': 0.9890198039470351, 18808: 0.988122401695262, 27740: 0.9879839922129803}"
183,183,183,241461,"{39095: 0.969280625861278, '240033': 0.9675446454676917, 27249: 0.9675141534514209, 5789: 0.9670202658901541}"
184,184,184,241476,"{10848: 0.9810843384343886, '215530': 0.9795799486071777, 1392: 0.9801092911207656, 27840: 0.9799678840890929}"
185,185,185,241551,"{'142439': 0.9842963950107123, '158916': 0.9784947103202773, 10547: 0.9782372167027615, 58834: 0.9769901863650364, 45878: 0.9761046286611827}"
186,186,186,241632,"{39234: 0.9647652870328218, '238797': 0.9618538522103454, 42102: 0.9630378386647277, 61466: 0.9624002230246438}"
