,Unnamed: 0.1,Unnamed: 0,original,duplicate
33,33,33,648874,"{108744: 0.9925680269238228, 36198: 0.9916283711575979, '645365': 0.9911423408405079, '647008': 0.9908731152517106, 32871: 0.9905423863454776}"
34,34,34,648932,"{95603: 0.9903635906966864, 19739: 0.9885327285260125, 106062: 0.9872484810148994, '620624': 0.9866720826693731, 105178: 0.9863499165242314}"
35,35,35,648954,"{'367064': 0.9786941874329771, 99063: 0.9795750035721029, 110886: 0.9782369866343649, 10375: 0.9779996153272855}"
36,36,36,648959,"{1133: 0.9857134786736517, 97437: 0.9848566703901206, 80862: 0.9847378484242126, '555396': 0.9843850670694674, '525812': 0.9835743968824221}"
37,37,37,648967,"{'600485': 0.9906846775932332, 83636: 0.9917238446101838, 51732: 0.9911503253719441, 51734: 0.9909006881858832}"
38,38,38,648970,"{'645547': 0.9867426638749496, 103018: 0.9855088574243909, '646919': 0.9846898926925637, 22849: 0.9843248433210294, 87776: 0.9843119927212699}"
39,39,39,648971,"{49633: 0.989953662010072, 98837: 0.989393525433295, 80862: 0.9891984920160204, '565717': 0.9889967132995301, '360331': 0.9886608084842058}"
40,40,40,648995,"{37011: 0.9893409367511704, 46973: 0.9891980492123076, '627113': 0.9878311453946484, 30919: 0.9885469715878502}"
41,41,41,649183,"{93301: 0.9840293703922723, '553390': 0.9829710554283431, 111194: 0.9833456683228156, 98302: 0.9824223483453204}"
42,42,42,649203,"{'603613': 0.9826487997325037, 56662: 0.981740759387261, 89619: 0.9815620801636817, 1678: 0.9812421479696649, '645474': 0.9800328644977226}"
43,43,43,649216,"{99387: 0.9796681903056037, '528154': 0.9779329594303792, 1309: 0.9783096128526916, 31906: 0.9777974552872707}"
44,44,44,649222,"{'642423': 0.9812405349673592, 39037: 0.9853884539567674, 110307: 0.9822913958745013, 39038: 0.9818788845388744}"
45,45,45,649243,"{87040: 0.9685155960059764, '644038': 0.967817472847456, 110784: 0.9662830191897266, 87956: 0.9660923182509773, 104244: 0.9653538288533331}"
46,46,46,649283,"{89224: 0.9862260320208187, 83636: 0.9834451953683079, 48685: 0.9831841674520169, '649282': 0.9830778250386647, 100501: 0.9830541763004924}"
47,47,47,649296,"{108877: 0.9906157650915742, '643777': 0.9894676507972235, 9042: 0.9892788853899315, 107758: 0.9889831959127985, '627311': 0.9887411485830603}"
48,48,48,649302,"{111912: 0.992913791115999, 95933: 0.9925544698340432, '649301': 0.9915701619170926, 35064: 0.9921406452726456}"
49,49,49,649303,"{64263: 0.9945232501951559, '649301': 0.9934275704498872, 111912: 0.9933670792186203, '649302': 0.9924866674458009, 103978: 0.9924860354791133}"
50,50,50,649305,"{38730: 0.9833343114771225, '645378': 0.9824218448885168, 101534: 0.9819989877997222, 105519: 0.9814308036994395, '639517': 0.981124094981244}"
51,51,51,649306,"{'649301': 0.9933678428881858, 111912: 0.993225790779549, 64263: 0.9931740275403005, 44099: 0.9928561960625011, 9469: 0.9925690741460442}"
52,52,52,649308,"{52034: 0.9924617880854206, 93240: 0.9914455581932922, 113812: 0.9912269120935983, '649301': 0.9905204904726835, '649302': 0.9900890054266841}"
53,53,53,649309,"{'649308': 0.9914848092220839, 32400: 0.9907434841049118, 36262: 0.9906393749894842, 37855: 0.9906042425878157, '649303': 0.9905168196598425}"
54,54,54,649310,"{101888: 0.9915976339295374, 36262: 0.9912061714334202, '649303': 0.9911702903481229, 10871: 0.9906198948936331, '649309': 0.9903622990466616}"
55,55,55,649311,"{37187: 0.9949792964214255, 64263: 0.9932056911374798, '649301': 0.9931289517672668, 113812: 0.9923292823757245, '649309': 0.9921092593121126}"
56,56,56,649312,"{'649302': 0.9941587547887795, 76194: 0.994140663420294, '649309': 0.9927814023203572, 85417: 0.9926299082177841, 95362: 0.9922167397073567}"
57,57,57,649313,"{35064: 0.9921200887382424, 90296: 0.991932949704803, '649312': 0.9918129804575689, '649301': 0.9914562862745485, 37855: 0.9908973395772639}"
58,58,58,649317,"{44111: 0.9928530077882691, 64263: 0.9919545795951817, 91595: 0.9908205279228258, '649310': 0.9903562892833523, 10398: 0.990342131721347}"
59,59,59,649430,"{'649428': 0.9732497760810369, 85748: 0.9732324658177398, 82314: 0.9728053276601832, 109485: 0.9717496954549811, 107114: 0.9714098876049427}"
60,60,60,649455,"{95844: 0.9926901130875105, '627677': 0.9896451738671074, 31246: 0.9911484368314685, 95933: 0.9907286754665842}"
61,61,61,649480,"{7482: 0.9914115964524702, '608964': 0.9902403419319845, 94374: 0.9907358317644567, 102976: 0.9903346914582183}"
62,62,62,649548,"{110981: 0.9882212251136823, '638352': 0.9865502798523866, 113413: 0.986586299135912, 114329: 0.9857380597951116}"
63,63,63,649562,"{'647832': 0.9756970190039425, 100618: 0.9773086938286111, 56886: 0.9768431216305583, 10416: 0.9765177325449425}"
64,64,64,649586,"{30760: 0.993911330822529, 98275: 0.992152303902546, 58317: 0.9921215536923015, 37434: 0.9920239452927941, '642426': 0.9917565422690173}"
65,65,65,649612,"{22455: 0.9823490233939899, 64238: 0.9822688640213, '638386': 0.9818459882121834, 58492: 0.981832452756936, '640526': 0.9812875427283613}"
66,66,66,649638,"{'644378': 0.9847509903488534, 113395: 0.9865055279172488, 108877: 0.9864789111574415, 64238: 0.9859973866594964}"
67,67,67,649678,"{102586: 0.9901271238316797, 22455: 0.9877003727597997, '649444': 0.9871693311280525, 42033: 0.9872495394060187}"
68,68,68,649714,"{32106: 0.9820166925787571, 76951: 0.9817935718949333, '457772': 0.9806881790568743, 54764: 0.9804547926931679, '284383': 0.9803626299835912}"
69,69,69,649715,"{106132: 0.9938842911366678, 43713: 0.9936920165630507, '649526': 0.9932689560169276, 42228: 0.9931266608497341}"
70,70,70,649732,"{'611660': 0.9902818700372844, 97490: 0.9903854851723608, 113994: 0.9895402838569689, 98631: 0.9893181070369975}"
71,71,71,649784,"{52669: 0.9833469836671319, 10398: 0.9831468286798859, '383516': 0.9830349976204886, '511928': 0.9827174962609259, 55148: 0.9823894297145843}"
72,72,72,649816,"{30701: 0.9885019687633011, '647461': 0.9881124796923533, 44111: 0.9873966075450357, '644251': 0.987098495826417, 30889: 0.9866101958014803}"
73,73,73,649837,"{47542: 0.9768210569763809, 82412: 0.9767239165357219, '647819': 0.9755681088341066, 114623: 0.9749220548698047}"
74,74,74,649925,"{97437: 0.9797604867560582, 109312: 0.9771074846158846, 113246: 0.9764257476598235, '645328': 0.9762125274807524}"
75,75,75,649950,"{110199: 0.9936613480073321, 91595: 0.9930006570367794, '649678': 0.9928672276615256, '649444': 0.9927703238749187, 96967: 0.9927590643728242}"
76,76,76,650093,"{'590282': 0.9866947681806906, 95084: 0.9846963098583644, 103018: 0.9834150286343489, '590385': 0.9833668858176356, 113929: 0.9833121090885666}"
77,77,77,650211,"{'642192': 0.9817432674637795, 101469: 0.9821927205544655, 102740: 0.9816599489662033, 63003: 0.9807439010125101}"
78,78,78,650232,"{'297133': 0.9930551378101848, '300879': 0.9916590260868511, 102415: 0.9915752271483695, 102060: 0.9912317267424601, 33445: 0.9911492167782215}"
79,79,79,650233,"{19139: 0.9860765584782281, 112184: 0.9852692991391975, 114070: 0.984603249234363, '641790': 0.984528513084886, 101575: 0.9840595087651408}"
80,80,80,650270,"{'427453': 0.9858228838954816, '409134': 0.9849720126889967, 344: 0.9844153957280348, 110307: 0.9837512967123526, 113290: 0.9833508618615656}"
81,81,81,650274,"{89619: 0.9720517743337656, 112146: 0.9717817769915132, '546383': 0.9701999098310413, 107805: 0.9697395549394834}"
82,82,82,650298,"{'636209': 0.9803327174947287, 101504: 0.9825599945160053, 50046: 0.9814092655210948, 31246: 0.9807183373281538}"
83,83,83,650332,"{'650298': 0.9838667190618248, 30884: 0.9830133376433577, '636209': 0.9828645573669174, 51731: 0.9821899714607684, 44581: 0.9818911846395486}"
84,84,84,650354,"{55148: 0.9840659853475131, 38362: 0.9838925788305001, 44456: 0.9837926559294585, '644998': 0.9835141964206134}"
85,85,85,650373,"{'631860': 0.9878812400426364, 108744: 0.9872870737308777, 47000: 0.9867408866816068, '637299': 0.9854108215762721, 36670: 0.9850925662300692}"
86,86,86,650374,"{10375: 0.9852394316891082, 31246: 0.9836160836692694, '646555': 0.9819294461203314, 44616: 0.9823255331027653}"
87,87,87,650383,"{36109: 0.994015730942104, 100454: 0.9921649683138564, 94999: 0.9921049396000696, '590282': 0.9917650322168889, '578250': 0.9917609872834048}"
88,88,88,650470,"{110180: 0.983383808219004, 40876: 0.9831247499524975, 22282: 0.9821920949073903, '638458': 0.979205214511201}"
89,89,89,650498,"{'644538': 0.9915835742979769, 32871: 0.9919573602205642, 113189: 0.991773045999068, 37538: 0.991526895153367}"
90,90,90,650510,"{98548: 0.9766801072489617, '648713': 0.9747041448439939, 99863: 0.9745113500906505, 80862: 0.9744155504701613, '607848': 0.9740793816697413}"
91,91,91,650588,"{100512: 0.9856618240092889, 102998: 0.9854769145709532, 38526: 0.9842690524410389, 47319: 0.9840308044190107, '649296': 0.9836391115192712}"
92,92,92,650631,"{112030: 0.9872967053312477, 94448: 0.9870873500224787, '619472': 0.9858745494985777, 94832: 0.9864073287914504}"
93,93,93,650635,"{'638458': 0.9940789792909414, '650470': 0.9936202026316623, 97967: 0.9934972287600942, 64263: 0.9931777243537228, 106594: 0.9930835843809643}"
94,94,94,650644,"{'647545': 0.9808762300866682, 97551: 0.9811294435242824, 103018: 0.9798345851230048, 16622: 0.9785027561339872}"
95,95,95,650647,"{101575: 0.9728065172663967, 64238: 0.9712529651540338, '344889': 0.9701128006057679, 6188: 0.9697771594788845}"
96,96,96,650649,"{'636791': 0.9753281347476231, 94130: 0.9764355964920924, 35292: 0.9757743727348297, 34955: 0.9753402700957363}"
97,97,97,650692,"{105111: 0.9839849800198285, 103175: 0.9821778808077606, '618459': 0.9815054072819847, 101115: 0.981182782408824}"
98,98,98,650734,"{101555: 0.9895401166787731, '502307': 0.9877022524975563, 60138: 0.9872609112692977, '566052': 0.9860726495089563, 101575: 0.9860389899858593}"
99,99,99,650738,"{'640005': 0.9870277405110318, 64238: 0.9844077792529629, 32106: 0.9824268994529619, 95084: 0.981785791158266, 2395: 0.981365036376105}"
100,100,100,650844,"{30405: 0.979410932927496, 9042: 0.9790072190259711, '421198': 0.9788537703139937, '439238': 0.9785810666327053, 102035: 0.9767173744197929}"
101,101,101,650948,"{'538826': 0.9784492902622278, 101555: 0.9784594544795177, 102004: 0.9781827562943008, 107962: 0.9769010200748838}"
102,102,102,651008,"{'642112': 0.9854511485513708, 29112: 0.9853164623407701, 3897: 0.9853065434208522, 31810: 0.9852371247010445}"
103,103,103,651066,"{'628462': 0.9834865895538186, 10264: 0.9851441056134239, 10375: 0.9832649510101551, 29619: 0.9831512404026853}"
104,104,104,651068,"{47927: 0.9854145948803521, '415803': 0.984649648019199, '451406': 0.9837349641685689, 97437: 0.9834984258537167, 107125: 0.9834723417296558}"
105,105,105,651098,"{'628870': 0.9810351386567092, 85919: 0.9804970313861672, 40503: 0.980188081304074, '467409': 0.9794981592665537, 42563: 0.979353451420604}"
106,106,106,651128,"{39038: 0.9942768473212111, '587314': 0.9936250939064512, 43393: 0.993374923711651, '629317': 0.9928624658704898, 102697: 0.9925336821087363}"
107,107,107,651182,"{27420: 0.9736927882416893, 26752: 0.9712488509040198, 99025: 0.9712281348993054, '651179': 0.9699257703290362}"
108,108,108,651194,"{40876: 0.9881140346665289, 110777: 0.9860463723536355, 21360: 0.9859968640651844, 10375: 0.985656850852956, '582991': 0.9855877648009479}"
109,109,109,651213,"{110858: 0.9828309175237719, 31341: 0.9803626329578898, 54764: 0.9795969997225771, '636716': 0.9795897718055915, 39181: 0.979369799450441}"
110,110,110,651239,"{64238: 0.9878253844352392, 9042: 0.9865888091333342, 108877: 0.9864485995671761, '644509': 0.9850378023408756}"
111,111,111,651259,"{'553330': 0.9860220450568388, 105684: 0.9838522498309825, 73847: 0.9830571282443645, 51738: 0.9829005671380275, 51734: 0.982622634353432}"
112,112,112,651282,"{75048: 0.9785000700720156, '644345': 0.9783885185759817, 80463: 0.9780665414275853, '646555': 0.9777143385799012, 46132: 0.9775209285263468}"
113,113,113,651329,"{44456: 0.9909705917506358, 32209: 0.9901933024837786, 102537: 0.9900699409634562, '365892': 0.9890736125479815}"
114,114,114,651337,"{47317: 0.9867156942794324, '645630': 0.986381608270654, 112884: 0.9859824914347813, 3897: 0.984716319733158, '644460': 0.9846171505765451}"
115,115,115,651339,"{29784: 0.9870490442305828, '594447': 0.9863312784054155, 103153: 0.9863001678849146, '643734': 0.9854194966256209, 44081: 0.9842121900227679}"
116,116,116,651443,"{497: 0.9860666515417842, '591582': 0.9840691567435756, 102574: 0.984431041248773, 16051: 0.9838578760222683}"
117,117,117,651605,"{107235: 0.9753309549079118, 35292: 0.9728370303675573, 5805: 0.9721904734036722, 89617: 0.9707284656661529, '611676': 0.9696756492730081}"
118,118,118,651610,"{'553440': 0.995288746168247, 37920: 0.9945467552966705, 75568: 0.9942388223350456, 392: 0.9940464334437766, '566509': 0.9939122565138933}"
119,119,119,651829,"{'630926': 0.9847585494156372, 52486: 0.9862652460767477, 114556: 0.9851376399789339, 101532: 0.9847102841431482}"
120,120,120,651835,"{16392: 0.9844406481014905, 109312: 0.9840368746919431, '644268': 0.9836891416172479, 2263: 0.9820591981994139, '636806': 0.9819934871137055}"
121,121,121,651836,"{'611945': 0.9871162555240384, '635300': 0.9866650553332582, 110280: 0.986642253962392, 90981: 0.9860410918113912, 10028: 0.9848989892705085}"
122,122,122,651893,"{56886: 0.9783307502758287, 107656: 0.9759127889729928, 100949: 0.9750699671552686, '631250': 0.9746890885600933, '645030': 0.9739765920716348}"
123,123,123,651941,"{'644409': 0.9845344648881056, 113751: 0.985955607136361, 93767: 0.9844540700543464, 36109: 0.9843901436425396}"
124,124,124,651967,"{'646955': 0.9789591292489369, 83993: 0.9783670153833254, 50216: 0.9771708380644898, '627977': 0.9760334647988028, 40503: 0.9758442927817209}"
125,125,125,652013,"{35474: 0.9920336362178909, 85573: 0.9912804266980456, '590282': 0.9912706707406164, 97967: 0.9909027096579588, 98861: 0.9905493340233138}"
126,126,126,652041,"{84581: 0.9759376089882795, '503263': 0.9749606261970124, '473970': 0.9739382966018644, 5446: 0.9737422486027351, 44287: 0.9726468148776812}"
127,127,127,652069,"{'559598': 0.9844285363282366, 76820: 0.9843111518719169, 94411: 0.9828910078830125, 99389: 0.9820882728363067}"
128,128,128,652103,"{80864: 0.9805055806008629, 42226: 0.980370713641177, 56318: 0.9802398893993977, 43287: 0.979784801086492, '619857': 0.9797664546199177}"
129,129,129,652322,"{33701: 0.986765808001059, '637289': 0.9844592744330685, 1: 0.9843529184245208, 111735: 0.9837631965281138}"
130,130,130,652347,"{102687: 0.9894406883344564, '288002': 0.9864542553985879, '619032': 0.986399852703529, 48934: 0.9855796443457572, 114489: 0.9851368618896973}"
131,131,131,652360,"{36109: 0.9915664614103036, 83873: 0.9913987274833231, '590282': 0.9905313539003856, 108744: 0.990557387273517}"
132,132,132,652434,"{35400: 0.9876412405640571, 33419: 0.9868771988773944, '551960': 0.9861802239625109, 111950: 0.9857950025924446}"
133,133,133,652435,"{33419: 0.9912045255583417, 111950: 0.9904926339995946, '569802': 0.9903433731915146, 64238: 0.9901667172910847, '558703': 0.9901292101533872}"
134,134,134,652458,"{64238: 0.9917231322666067, 31246: 0.9907724521934451, 80794: 0.9901819922733975, 102467: 0.9901358570065085, '631860': 0.9897468916354119}"
135,135,135,652471,"{'601433': 0.978418596147676, 51728: 0.9761286583708374, 2033: 0.9759442198835306, 74066: 0.9756347110357768}"
136,136,136,652477,"{'644085': 0.9800504379458874, 64108: 0.9794448122503118, 88328: 0.9793349603055888, 99951: 0.9788874892126406, 16883: 0.9774275067522906}"
137,137,137,652479,"{113257: 0.9840697330579017, 44560: 0.983730734404694, '625948': 0.9830751435808291, 83327: 0.9826384918944673}"
138,138,138,652496,"{24325: 0.9732058044061491, 112662: 0.9723146193564405, '425183': 0.9709829976665026, 31775: 0.9709262797473929, 96434: 0.9705268008970126}"
139,139,139,652681,"{114390: 0.9902349682042892, '472241': 0.988410300917185, 51734: 0.9871216326721963, 44581: 0.9869952367317923, '355400': 0.9869862596501549}"
140,140,140,652819,"{'643259': 0.9750035187344082, 30767: 0.974873920174294, '648285': 0.9722144224630738, 35393: 0.9720280974021273, 72061: 0.9719922454007928}"
141,141,141,652825,"{'478357': 0.986908245487264, 47391: 0.9873852078270897, 48934: 0.9870829228031763, 62846: 0.9870086882339877}"
142,142,142,652898,"{'586326': 0.9899697310504354, 44391: 0.9889657605648862, 84580: 0.9883157723384068, 101556: 0.9879233147734942, 44456: 0.9878596638221213}"
143,143,143,653008,"{'633893': 0.97946578435986, 60477: 0.980296233190689, 36767: 0.979460368292672, 43279: 0.9794225256558955}"
144,144,144,653025,"{'457620': 0.9891236471545878, 106455: 0.9896726713102078, 107912: 0.9892391533863725, 37013: 0.9888970841478479}"
145,145,145,653082,"{'652766': 0.9887627273392869, 113929: 0.9900372109299994, 37187: 0.9888715565684719, 91593: 0.9887671695878892}"
146,146,146,653204,"{82865: 0.9859775606127282, '499677': 0.9837969998536864, 99389: 0.9854011782298573, 38123: 0.9843905409518958}"
147,147,147,653360,"{102415: 0.9874005717035114, '631973': 0.9872317547093054, 96920: 0.9872111032677566, 21128: 0.9870185935913441, 99770: 0.9868304607597205}"
148,148,148,653388,"{'646593': 0.9883216746605271, 56212: 0.9884422365817291, 34649: 0.9873647874511087, 101873: 0.9868539154257217}"
149,149,149,653508,"{51907: 0.9886723998203568, '347928': 0.9881135726225492, '446179': 0.9873961489615893, 48894: 0.9872468558007376, 60020: 0.9871936988555637}"
150,150,150,653638,"{'648930': 0.9857179804123336, 109637: 0.9873030694631783, 5241: 0.9863426814578935, 113001: 0.9855406834115761}"
151,151,151,653759,"{64238: 0.9916873685003553, '646397': 0.9897458701797263, 31246: 0.9891700260900755, 60138: 0.9888381955616483}"
152,152,152,653845,"{'644091': 0.9812487590568703, '599678': 0.981223298124367, 82413: 0.9805590310441743, 101428: 0.9805136453930944, 98964: 0.980411296617775}"
153,153,153,653855,"{2395: 0.9866817717648649, '632606': 0.9863341570342419, 58492: 0.9857419826008406, 95084: 0.9846317800098078, '642870': 0.9842868564475656}"
154,154,154,653900,"{'636806': 0.9882602810288502, 40876: 0.9877138425664702, 43408: 0.9870604055663069, '637220': 0.986775305858333, 99389: 0.9862563830248351}"
155,155,155,653927,"{'652319': 0.9921258174849542, 3647: 0.9919405324265638, 101188: 0.9914064317424565, 64238: 0.9913383441591941, 97490: 0.9913372228990529}"
156,156,156,653966,"{99104: 0.9837873192766738, '526218': 0.9805529338023173, '624646': 0.9800241928820922, 36639: 0.9781124050271714, 37051: 0.9778787823373745}"
157,157,157,654016,"{37417: 0.9852037374938272, 54764: 0.9841352286275649, '296871': 0.9835106178152201, 96482: 0.9835930890609611}"
158,158,158,654023,"{'654022': 0.989084473362034, 9924: 0.9901501603370575, 67145: 0.9884695945093611, 17019: 0.9884283179082272}"
159,159,159,654102,"{108877: 0.9887772762089196, 64238: 0.9883108645966523, 102004: 0.9881464920227618, '574973': 0.9880260068785509, '582744': 0.9878522597236413}"
160,160,160,654192,"{'647407': 0.9797801450369193, 40503: 0.9804503810704925, 44866: 0.979833108532831, 104246: 0.9793707953704285}"
161,161,161,654230,"{'585388': 0.9856623651895271, 111607: 0.9855443199719345, '538381': 0.9852332800651263, 4617: 0.9847746859318469, 91595: 0.9847642626166013}"
162,162,162,654247,"{60138: 0.9846177768866483, '620611': 0.9823483974740302, 112761: 0.9822068054256482, 97490: 0.9814555550920918}"
163,163,163,654316,"{83759: 0.9915752708041045, '649526': 0.9915005077493068, '649715': 0.991463144945685, 99739: 0.9911514406946351, 42391: 0.9910850035676096}"
164,164,164,654466,"{'645365': 0.9939159861366164, 101188: 0.9936096564954976, '647008': 0.9934716143881527, 74273: 0.9933927727450019, 32871: 0.9932893747324165}"
165,165,165,654584,"{'564716': 0.9848740158260602, 47000: 0.9844763781606061, 107579: 0.9834664266712092, 91624: 0.9834587783238395}"
166,166,166,654642,"{106241: 0.9851827978255562, '653759': 0.9837337137308751, '646397': 0.9828215350566734, 66600: 0.9824346608031969, 78872: 0.9823771009337885}"
167,167,167,654681,"{'629641': 0.9760286146961039, 98976: 0.9757723979403851, '317670': 0.9756624351886597, 38435: 0.9753953313854582, 44463: 0.9751755735709858}"
168,168,168,654684,"{109288: 0.9795277807156658, 35202: 0.978271472531678, '646712': 0.978199449322245, 89619: 0.9779026145145272}"
169,169,169,654846,"{37417: 0.9857544555095725, 100811: 0.9851766490463632, 28766: 0.9848365466617859, '524500': 0.9843692834700437, '512343': 0.9843197641379531}"
170,170,170,654901,"{'641058': 0.9878238393739022, 104901: 0.9876492889156948, '631236': 0.9872457040952513, 102467: 0.9871162649432611, 94809: 0.9870519223909088}"
171,171,171,654902,"{'613431': 0.9876999554823084, 31246: 0.9870038308755179, 10375: 0.9866281799452049, 64238: 0.98660789305815, '588733': 0.9854165682508361}"
172,172,172,654907,"{33684: 0.9931424167821431, 32782: 0.9929760963415878, 85128: 0.9929737665949042, '633223': 0.9928520537805396}"
173,173,173,654947,"{102035: 0.991518358084386, '277969': 0.9881125525094189, 93903: 0.9863669728067629, 9042: 0.9863264641522076, 47542: 0.9853897571401892}"
174,174,174,654952,"{27153: 0.9879308865156846, 107962: 0.9864867493098903, '645924': 0.9857893877607798, 104513: 0.9853163297357451, '645797': 0.9848252959207412}"
175,175,175,655019,"{'654696': 0.976949249045374, 44616: 0.9767451802391749, 56662: 0.9762345849103707, 43631: 0.9759396019673455}"
176,176,176,655026,"{'501928': 0.9909760533766676, 109288: 0.9899216557068496, 9809: 0.9893547448501656, '515448': 0.9887683316618405, 102841: 0.9884481324060634}"
177,177,177,655038,"{103096: 0.9900177062162074, '654960': 0.9884932629453801, 111927: 0.9887539210933838, 44391: 0.9885281896382926}"
178,178,178,655041,"{'655038': 0.9701248174531477, 102344: 0.9705695395029846, 42943: 0.9700736865765409, 81336: 0.969693917352134}"
179,179,179,655106,"{110946: 0.9954833586918275, 2783: 0.9947631794434157, '625466': 0.9946756838614124, 96333: 0.9939913221735437, '579703': 0.9936993917611525}"
180,180,180,655194,"{'649594': 0.9920052632606695, 94466: 0.9932897759807195, 101390: 0.9921114789286765, 104813: 0.9918944866131564}"
181,181,181,655232,"{99730: 0.9874371610736645, 108609: 0.9869455704403884, '466374': 0.9862067560963982, '394240': 0.9858027183539447, 93755: 0.9858012907394971}"
182,182,182,655234,"{'654316': 0.9918532192756296, 60020: 0.9909242555698599, '649526': 0.9900063345805127, 95933: 0.9898757848312151, 46861: 0.9897379876156724}"
